Address,Parcel,Code Number,Code Description,Date Cited,Date Corrected,Violation Status,Case Number,Code Case Status
"2 LEONARD AVE
Cambridge, MA 02139
(42.374881, -71.105795)",140-57,410.6,Storage of Garbage and Rubbish,02/25/2016 12:00:00 AM,04/05/2016 12:00:00 AM,Corrected,HOU-011458-2016,Closed
"57 MAGOUN ST
Cambridge, MA 02139
(42.398918, -71.135209)",188-81,410.55,"Extermination of Insects, Rodents and Skunks",07/17/2015 12:00:00 AM,01/04/2016 12:00:00 AM,Corrected,HOU-008704-2015,Closed
"132 OXFORD ST
Cambridge, MA 02139
(42.385331, -71.116171)",151-75-27/6,410.5,Owner's Resp. to Maintain Structural Elements,02/11/2015 12:00:00 AM,02/20/2015 12:00:00 AM,Corrected,HOU-007174-2015,Closed
"40 COTTAGE ST
Cambridge, MA 02139
(42.363527, -71.107464)",104-92,410.602,Maint. of Areas Free from Garbage and Rubbish,12/27/2016 12:00:00 AM,02/21/2017 12:00:00 AM,Corrected,HOU-016506-2016,Closed
"18 PLEASANT ST
Cambridge, MA 02139
(42.365548, -71.106415)",105-56,410.6,Storage of Garbage and Rubbish,05/18/2017 12:00:00 AM,06/27/2017 12:00:00 AM,Corrected,HOU-018617-2017,Closed
"116 INMAN ST
Cambridge, MA 02139
(42.372912, -71.100951)",110-123,410.602,Maint. of Areas Free from Garbage and Rubbish,06/13/2016 12:00:00 AM,07/13/2016 12:00:00 AM,Corrected,HOU-013515-2016,Closed
"1 Salem St
Cambridge, MA 02139
(42.362732, -71.104147)",93-6-1,410.55,"Extermination of Insects, Rodents and Skunks",04/13/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012489-2016,Closed
"2072 MASSACHUSETTS AVE
Cambridge, MA 02139
(42.391273, -71.123159)",200-22,410.602,Maint. of Areas Free from Garbage and Rubbish,12/08/2015 12:00:00 AM,12/15/2015 12:00:00 AM,Corrected,HOU-010150-2015,Closed
"2 Coolidge Ave
Cambridge, MA 02139
(42.37493, -71.139716)",242A-155,410.482,Smoke Detectors and Carbon Monoxide Alarms,03/04/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-011665-2016,Closed
"21 Walden Square Rd
Cambridge, MA 02139
(42.389468, -71.129496)",203B-66,410.351,Owner's Inst. and Maint. Responsibilities,03/28/2017 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-017718-2017,Closed
"10 SULLIVAN RD
Cambridge, MA 02139
(42.375507, -71.153849)",255-55,410.6,Storage of Garbage and Rubbish,11/30/2015 12:00:00 AM,12/08/2015 12:00:00 AM,Corrected,HOU-010033-2015,Closed
"15 PLEASANT PL
Cambridge, MA 02139
(42.363031, -71.107679)",104-96,410.601,Collection of Garbage and Rubbish,06/01/2016 12:00:00 AM,06/09/2016 12:00:00 AM,Corrected,HOU-013314-2016,Closed
"10 Columbia Ter
Cambridge, MA 02139
(42.364846, -71.09915)",91-72,410.351,Owner's Inst. and Maint. Responsibilities,02/23/2016 12:00:00 AM,06/01/2016 12:00:00 AM,Corrected,HOU-011376-2016,Closed
"10 SULLIVAN RD
Cambridge, MA 02139
(42.375507, -71.153849)",255-55,410.55,"Extermination of Insects, Rodents and Skunks",12/15/2015 12:00:00 AM,12/22/2015 12:00:00 AM,Corrected,HOU-010222-2015,Closed
"20 Gold Star Rd
Cambridge, MA 02139
(42.398783, -71.130858)",184-112,410.55,"Extermination of Insects, Rodents and Skunks",04/25/2016 12:00:00 AM,06/15/2016 12:00:00 AM,Corrected,HOU-012671-2016,Closed
"578 CAMBRIDGE ST
Cambridge, MA 02139
(42.371788, -71.085884)",34-24-578/2F,410.55,"Extermination of Insects, Rodents and Skunks",05/17/2016 12:00:00 AM,06/01/2016 12:00:00 AM,Corrected,HOU-013072-2016,Closed
"48 CRESCENT ST
Cambridge, MA 02139
(42.383007, -71.114377)",150-95-1,410.2,Heating Facilities Required,02/13/2017 12:00:00 AM,02/27/2017 12:00:00 AM,Corrected,HOU-017050-2017,Active
"12 Hamlin St
Cambridge, MA 02139
(42.369187, -71.092803)",40-86,410.6,Storage of Garbage and Rubbish,05/26/2016 12:00:00 AM,06/17/2016 12:00:00 AM,Corrected,HOU-013238-2016,Closed
"1218 MASSACHUSETTS AVE
Cambridge, MA 02139
(42.372079, -71.11543)",133-14,410.6,Storage of Garbage and Rubbish,12/06/2016 12:00:00 AM,02/22/2017 12:00:00 AM,Corrected,HOU-016325-2016,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120-2,410.55,"Extermination of Insects, Rodents and Skunks",07/07/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013963-2016,Closed
"52 Irving St
Cambridge, MA 02139
(42.377371, -71.110604)",142-50-50/R8,410.151,Shared Facilities,11/30/2015 12:00:00 AM,12/07/2015 12:00:00 AM,Corrected,HOU-009926-2015,Closed
"57 MAGOUN ST
Cambridge, MA 02139
(42.398918, -71.135209)",188-81,410.551,Screens for Windows,07/17/2015 12:00:00 AM,01/04/2016 12:00:00 AM,Corrected,HOU-008704-2015,Closed
"48 Union St
Cambridge, MA 02139
(42.370657, -71.09478)",79-69,410.602,Maint. of Areas Free from Garbage and Rubbish,06/01/2016 12:00:00 AM,06/30/2016 12:00:00 AM,Corrected,HOU-013325-2016,Closed
"28 BERKSHIRE ST
Cambridge, MA 02139
(42.36907, -71.091597)",40-141,410.55,"Extermination of Insects, Rodents and Skunks",03/17/2016 12:00:00 AM,06/30/2016 12:00:00 AM,Corrected,HOU-011907-2016,Closed
"1 Salem St
Cambridge, MA 02139
(42.362732, -71.104147)",93-6-3,410.6,Storage of Garbage and Rubbish,04/13/2016 12:00:00 AM,04/20/2016 12:00:00 AM,Corrected,HOU-012489-2016,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120-2,410.6,Storage of Garbage and Rubbish,07/07/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013963-2016,Closed
"1663 CAMBRIDGE ST
Cambridge, MA 02139
(42.374976, -71.110564)",,410.55,"Extermination of Insects, Rodents and Skunks",03/22/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012079-2016,Closed
"17 ATHENS ST
Cambridge, MA 02139
(42.370259, -71.115482)",132-9,410.6,Storage of Garbage and Rubbish,03/29/2017 12:00:00 AM,05/22/2017 12:00:00 AM,Corrected,HOU-017801-2017,Closed
"13 ATHENS ST
Cambridge, MA 02139
(42.370338, -71.115436)",132-8,410.55,"Extermination of Insects, Rodents and Skunks",03/29/2017 12:00:00 AM,05/22/2017 12:00:00 AM,Corrected,HOU-017803-2017,Closed
"263 BROOKLINE ST
Cambridge, MA 02139
(42.35755, -71.107819)",97-111,410.55,"Extermination of Insects, Rodents and Skunks",03/28/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012218-2016,Closed
"504 Windsor St
Cambridge, MA 02139
(42.372744, -71.093285)",81-95,410.75,Cond. Deemed to Endgr. or Impair Health or Safety,01/03/2017 12:00:00 AM,01/17/2017 12:00:00 AM,Corrected,HOU-016577-2017,Closed
"185 Putnam Ave
Cambridge, MA 02139
(42.364804, -71.11392)",130-12,410.55,"Extermination of Insects, Rodents and Skunks",09/14/2016 12:00:00 AM,10/06/2016 12:00:00 AM,Corrected,HOU-015129-2016,Closed
"62 Magnolia Ave
Cambridge, MA 02139
(42.376701, -71.106213)",141-49-62,410.6,Storage of Garbage and Rubbish,06/15/2016 12:00:00 AM,07/14/2016 12:00:00 AM,Corrected,HOU-013580-2016,Closed
"320 Putnam Ave
Cambridge, MA 02139
(42.361616, -71.113427)",127-126,410.602,Maint. of Areas Free from Garbage and Rubbish,06/13/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-013505-2016,Closed
"90 NORFOLK ST
Cambridge, MA 02139
(42.366419, -71.100472)",89-3,410.6,Storage of Garbage and Rubbish,05/23/2016 12:00:00 AM,06/29/2016 12:00:00 AM,Corrected,HOU-013165-2016,Closed
"469 Cambridge St
Cambridge, MA 02139
(42.371549, -71.08401)",23-17,410.2,Heating Facilities Required,01/19/2017 12:00:00 AM,03/28/2017 12:00:00 AM,Corrected,HOU-016783-2017,Closed
"182 Elm St
Cambridge, MA 02139
(42.37116, -71.096465)",79-6,410.6,Storage of Garbage and Rubbish,09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,Corrected,HOU-014954-2016,Closed
"27 WEST ST
Cambridge, MA 02139
(42.369789, -71.104495)",108-12,410.55,"Extermination of Insects, Rodents and Skunks",06/28/2016 12:00:00 AM,07/13/2016 12:00:00 AM,Corrected,HOU-013804-2016,Closed
"10 MUSEUM WAY
Cambridge, MA 02139
(42.370402, -71.070848)",1A-109-N328,410.351,Owner's Inst. and Maint. Responsibilities,10/18/2016 12:00:00 AM,11/14/2016 12:00:00 AM,Corrected,HOU-015739-2016,Closed
"333 COLUMBIA ST
Cambridge, MA 02139
(42.371034, -71.095555)",79-138,410.602,Maint. of Areas Free from Garbage and Rubbish,09/01/2016 12:00:00 AM,09/08/2016 12:00:00 AM,Corrected,HOU-014956-2016,Closed
"12 PERRY ST
Cambridge, MA 02139
(42.362092, -71.106826)",103-32,410.6,Storage of Garbage and Rubbish,03/10/2017 12:00:00 AM,03/28/2017 12:00:00 AM,Corrected,HOU-017419-2017,Closed
"18 THINGVALLA AVE
Cambridge, MA 02139
(42.37619, -71.152685)",255-12,410.602,Maint. of Areas Free from Garbage and Rubbish,05/10/2016 12:00:00 AM,06/27/2016 12:00:00 AM,Corrected,HOU-012971-2016,Closed
"178 Raymond St
Cambridge, MA 02139
(42.388801, -71.128348)",204-6-178,410.6,Storage of Garbage and Rubbish,12/04/2015 12:00:00 AM,12/11/2015 12:00:00 AM,Corrected,HOU-010116-2015,Closed
"17 Putnam Ave
Cambridge, MA 02139
(42.370083, -71.113324)",132-50,410.602,Maint. of Areas Free from Garbage and Rubbish,05/31/2017 12:00:00 AM,06/27/2017 12:00:00 AM,Corrected,HOU-018782-2017,Closed
"403 Putnam Ave
Cambridge, MA 02139
(42.359929, -71.112437)",101-137,410.602,Maint. of Areas Free from Garbage and Rubbish,06/08/2016 12:00:00 AM,06/30/2016 12:00:00 AM,Corrected,HOU-013461-2016,Closed
"259 WINDSOR ST
Cambridge, MA 02139
(42.36763, -71.095228)",76-73,410.501,Weathertight Elements,04/18/2017 12:00:00 AM,05/26/2017 12:00:00 AM,Corrected,HOU-018055-2017,Active
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120,410.55,"Extermination of Insects, Rodents and Skunks",07/06/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013939-2016,Closed
"121 Webster Ave
Cambridge, MA 02139
(42.369573, -71.093246)",78-96,410.351,Owner's Inst. and Maint. Responsibilities,01/21/2016 12:00:00 AM,07/13/2016 12:00:00 AM,Corrected,HOU-011191-2016,Closed
"66 PROSPECT ST
Cambridge, MA 02139
(42.366844, -71.102743)",90-187,410.602,Maint. of Areas Free from Garbage and Rubbish,06/20/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013635-2016,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.5,Owner's Resp. to Maintain Structural Elements,12/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-016415-2016,Closed
"173 Sherman St
Cambridge, MA 02139
(42.391903, -71.132785)",194-82,410.602,Maint. of Areas Free from Garbage and Rubbish,07/28/2015 12:00:00 AM,12/03/2015 12:00:00 AM,Corrected,HOU-008770-2015,Closed
"3 FLORENCE ST
Cambridge, MA 02139
(42.358066, -71.112905)",100-42-3,410.602,Maint. of Areas Free from Garbage and Rubbish,05/16/2017 12:00:00 AM,07/03/2017 12:00:00 AM,Corrected,HOU-018569-2017,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120-4,410.602,Maint. of Areas Free from Garbage and Rubbish,07/07/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013965-2016,Closed
"21 PRINCE ST
Cambridge, MA 02139
(42.360541, -71.110289)",101-191,410.602,Maint. of Areas Free from Garbage and Rubbish,11/13/2015 12:00:00 AM,11/19/2015 12:00:00 AM,Corrected,HOU-009736-2015,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120,410.602,Maint. of Areas Free from Garbage and Rubbish,07/06/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Cited,HOU-013939-2016,Closed
"1643 CAMBRIDGE ST
Cambridge, MA 02139
(42.374873, -71.109758)",140-149-55,410.351,Owner's Inst. and Maint. Responsibilities,02/05/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-011073-2016,Closed
"297 307 RIVER ST
Cambridge, MA 02139
(42.362336, -71.113262)",126-27,410.6,Storage of Garbage and Rubbish,12/16/2015 12:00:00 AM,01/06/2016 12:00:00 AM,Corrected,HOU-010286-2015,Closed
"81 DANA ST
Cambridge, MA 02139
(42.374284, -71.107199)",139-18,410.552,Screens for Doors,09/23/2016 12:00:00 AM,01/19/2017 12:00:00 AM,Corrected,HOU-015320-2016,Closed
"504 Windsor St
Cambridge, MA 02139
(42.372744, -71.093285)",81-95,410.5,Owner's Resp. to Maintain Structural Elements,01/03/2017 12:00:00 AM,01/17/2017 12:00:00 AM,Corrected,HOU-016577-2017,Closed
"17 FAYETTE ST
Cambridge, MA 02139
(42.371779, -71.103895)",113-67,410.482,Smoke Detectors and Carbon Monoxide Alarms,01/18/2017 12:00:00 AM,03/30/2017 12:00:00 AM,Corrected,HOU-016747-2017,Closed
"15 FIFTH ST
Cambridge, MA 02139
(42.37251, -71.082882)",22-32,410.55,"Extermination of Insects, Rodents and Skunks",06/14/2016 12:00:00 AM,06/28/2016 12:00:00 AM,Corrected,HOU-013540-2016,Closed
"115 Prospect St
Cambridge, MA 02139
(42.368175, -71.101835)",107-117,410.55,"Extermination of Insects, Rodents and Skunks",05/04/2016 12:00:00 AM,05/26/2016 12:00:00 AM,Corrected,HOU-012778-2016,Closed
"4 Walden Square Rd
Cambridge, MA 02139
(42.389385, -71.128796)",203B-66,410.5,Owner's Resp. to Maintain Structural Elements,12/16/2015 12:00:00 AM,01/13/2016 12:00:00 AM,Corrected,HOU-010285-2015,Closed
"1 Salem St
Cambridge, MA 02139
(42.362732, -71.104147)",93-6-2,410.602,Maint. of Areas Free from Garbage and Rubbish,04/13/2016 12:00:00 AM,04/20/2016 12:00:00 AM,Corrected,HOU-012489-2016,Closed
"16 CHATHAM ST
Cambridge, MA 02139
(42.37103, -71.107533)",115-94,410.55,"Extermination of Insects, Rodents and Skunks",05/08/2017 12:00:00 AM,06/27/2017 12:00:00 AM,Corrected,HOU-018437-2017,Closed
"37 Homer Ave
Cambridge, MA 02139
(42.376097, -71.148167)",252-171-39/2,410.351,Owner's Inst. and Maint. Responsibilities,12/16/2015 12:00:00 AM,12/23/2015 12:00:00 AM,Corrected,HOU-010233-2015,Closed
"1673 CAMBRIDGE ST
Cambridge, MA 02139
(42.375018, -71.110882)",142-43,410.6,Storage of Garbage and Rubbish,03/22/2016 12:00:00 AM,05/03/2016 12:00:00 AM,Corrected,HOU-012091-2016,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.351,Owner's Inst. and Maint. Responsibilities,10/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-015679-2016,Closed
"101 Magazine St
Cambridge, MA 02139
(42.360304, -71.109762)",101-120,410.55,"Extermination of Insects, Rodents and Skunks",05/24/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-013208-2016,Closed
"20 TUFTS ST
Cambridge, MA 02139
(42.357408, -71.111584)",99-26,410.602,Maint. of Areas Free from Garbage and Rubbish,03/31/2016 12:00:00 AM,04/06/2016 12:00:00 AM,Corrected,HOU-012291-2016,Closed
"90 NORFOLK ST
Cambridge, MA 02139
(42.366419, -71.100472)",89-3,410.55,"Extermination of Insects, Rodents and Skunks",05/23/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013165-2016,Closed
"109 IRVING ST
Cambridge, MA 02139
(42.379463, -71.111186)",146-7,410.602,Maint. of Areas Free from Garbage and Rubbish,11/28/2016 12:00:00 AM,04/14/2017 12:00:00 AM,Corrected,HOU-016227-2016,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.351,Owner's Inst. and Maint. Responsibilities,12/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-016415-2016,Closed
"323 River St
Cambridge, MA 02139
(42.36221, -71.113636)",129-42,410.254,"Light in Passageways, Hallways, and Stairways",10/13/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-015679-2016,Closed
"51 DANA ST
Cambridge, MA 02139
(42.372532, -71.108431)",139-31,410.552,Screens for Doors,08/26/2016 12:00:00 AM,01/23/2017 12:00:00 AM,Corrected,HOU-014834-2016,Closed
"4 Walden Square Rd
Cambridge, MA 02139
(42.389385, -71.128796)",203B-66,410.55,"Extermination of Insects, Rodents and Skunks",12/16/2015 12:00:00 AM,01/13/2016 12:00:00 AM,Corrected,HOU-010285-2015,Closed
"463 CAMBRIDGE ST
Cambridge, MA 02139
(42.371528, -71.083846)",23-16,410.6,Storage of Garbage and Rubbish,12/03/2015 12:00:00 AM,12/11/2015 12:00:00 AM,Corrected,HOU-010104-2015,Closed
"28 RIVER ST
Cambridge, MA 02139
(42.364844, -71.105849)",105-120-2,410.601,Collection of Garbage and Rubbish,07/07/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013963-2016,Closed
"372 378 Washington St
Cambridge, MA 02139
(42.365713, -71.099818)",91-75,410.6,Storage of Garbage and Rubbish,09/22/2016 12:00:00 AM,11/01/2016 12:00:00 AM,Corrected,HOU-015293-2016,Closed
"176 ELM ST N
Cambridge, MA 02139
(42.371045, -71.096533)",180-70,410.6,Storage of Garbage and Rubbish,06/02/2016 12:00:00 AM,06/27/2016 12:00:00 AM,Corrected,HOU-013376-2016,Closed
"37 GORE ST
Cambridge, MA 02139
(42.371665, -71.079271)",20-14,410.55,"Extermination of Insects, Rodents and Skunks",06/07/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013433-2016,Closed
"111 Webster Ave
Cambridge, MA 02139
(42.369329, -71.093168)",78-80,410.6,Storage of Garbage and Rubbish,05/26/2016 12:00:00 AM,06/17/2016 12:00:00 AM,Corrected,HOU-013240-2016,Closed
"15 PLEASANT PL
Cambridge, MA 02139
(42.363031, -71.107679)",104-96,410.6,Storage of Garbage and Rubbish,06/01/2016 12:00:00 AM,06/09/2016 12:00:00 AM,Corrected,HOU-013314-2016,Closed
"1 Salem St
Cambridge, MA 02139
(42.362732, -71.104147)",93-6,410.55,"Extermination of Insects, Rodents and Skunks",04/13/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012489-2016,Closed
"341 Cardinal Medeiros Ave
Cambridge, MA 02139
(42.369997, -71.08966)",39-168,410.6,Storage of Garbage and Rubbish,04/21/2016 12:00:00 AM,07/12/2016 12:00:00 AM,Corrected,HOU-012613-2016,Closed
"51 DANA ST
Cambridge, MA 02139
(42.372532, -71.108431)",139-31,410.602,Maint. of Areas Free from Garbage and Rubbish,08/26/2016 12:00:00 AM,01/23/2017 12:00:00 AM,Corrected,HOU-014834-2016,Closed
"9 ATHENS ST
Cambridge, MA 02139
(42.370474, -71.115357)",132-7,410.6,Storage of Garbage and Rubbish,03/29/2017 12:00:00 AM,05/22/2017 12:00:00 AM,Corrected,HOU-017802-2017,Closed
"1221 Cambridge St
Cambridge, MA 02139
(42.373336, -71.097792)",82-8,410.55,"Extermination of Insects, Rodents and Skunks",11/07/2016 12:00:00 AM,02/21/2017 12:00:00 AM,Corrected,HOU-016028-2016,Closed
"338 Western Ave
Cambridge, MA 02139
(42.364478, -71.11392)",126-1,410.602,Maint. of Areas Free from Garbage and Rubbish,04/21/2016 12:00:00 AM,05/24/2016 12:00:00 AM,Corrected,HOU-012600-2016,Closed
"240 258 Hampshire St
Cambridge, MA 02139
(42.374312, -71.101541)",,410.55,"Extermination of Insects, Rodents and Skunks",03/09/2016 12:00:00 AM,04/06/2016 12:00:00 AM,Corrected,HOU-011701-2016,Closed
"94 Winter St
Cambridge, MA 02139
(42.372759, -71.08242)",22-46-94/1,410.55,"Extermination of Insects, Rodents and Skunks",06/14/2016 12:00:00 AM,07/11/2016 12:00:00 AM,Corrected,HOU-013542-2016,Closed
"2072 MASSACHUSETTS AVE
Cambridge, MA 02139
(42.391273, -71.123159)",200-22,410.55,"Extermination of Insects, Rodents and Skunks",12/08/2015 12:00:00 AM,12/15/2015 12:00:00 AM,Corrected,HOU-010150-2015,Closed
"10 SULLIVAN RD
Cambridge, MA 02139
(42.375507, -71.153849)",255-55,410.5,Owner's Resp. to Maintain Structural Elements,12/15/2015 12:00:00 AM,12/22/2015 12:00:00 AM,Corrected,HOU-010222-2015,Closed
"35 MAGNOLIA AVE
Cambridge, MA 02139
(42.376746, -71.106629)",140-39-6,410.6,Storage of Garbage and Rubbish,06/15/2016 12:00:00 AM,07/14/2016 12:00:00 AM,Corrected,HOU-013578-2016,Closed
"21 MARCELLA ST
Cambridge, MA 02139
(42.371433, -71.089638)",37-58,410.602,Maint. of Areas Free from Garbage and Rubbish,09/02/2016 12:00:00 AM,09/12/2016 12:00:00 AM,Corrected,HOU-014970-2016,Closed
"25 ORCHARD ST
Cambridge, MA 02139
(42.390783, -71.11972)",179-73,410.6,Storage of Garbage and Rubbish,09/22/2016 12:00:00 AM,10/03/2016 12:00:00 AM,Corrected,HOU-015321-2016,Closed
"1 Salem St
Cambridge, MA 02139
(42.362732, -71.104147)",93-6-2,410.55,"Extermination of Insects, Rodents and Skunks",04/13/2016 12:00:00 AM,05/31/2016 12:00:00 AM,Corrected,HOU-012489-2016,Closed
"210 Sidney St
Cambridge, MA 02139
(42.357329, -71.105998)",66-43,410.75,Cond. Deemed to Endgr. or Impair Health or Safety,12/01/2016 12:00:00 AM,04/12/2017 12:00:00 AM,Corrected,HOU-016287-2016,Closed
"122 GORE ST
Cambridge, MA 02139
(42.372225, -71.083539)",23-6,410.6,Storage of Garbage and Rubbish,12/03/2015 12:00:00 AM,12/11/2015 12:00:00 AM,Corrected,HOU-010102-2015,Closed
"51 DANA ST
Cambridge, MA 02139
(42.372532, -71.108431)",139-31,410.351,Owner's Inst. and Maint. Responsibilities,08/26/2016 12:00:00 AM,01/23/2017 12:00:00 AM,Corrected,HOU-014834-2016,Closed
"213 HURLEY ST
Cambridge, MA 02139
(42.368412, -71.081406)",24-31,410.55,"Extermination of Insects, Rodents and Skunks",05/06/2016 12:00:00 AM,06/01/2016 12:00:00 AM,Corrected,HOU-012815-2016,Closed
"24 SACRAMENTO ST
Cambridge, MA 02139
(42.382554, -71.117292)",156-104,410.6,Storage of Garbage and Rubbish,09/26/2016 12:00:00 AM,10/05/2016 12:00:00 AM,Corrected,HOU-015365-2016,Closed
